exp_name,mode,ring_type,fold,task,input_type,dataset_task,method_name,epochs,lr,criterion,batch_size,sample_len,mae_with_std,rmse_with_std,mape_with_std,pearson_with_std
inception-time-ring1-samsung_hr-stationary-ir,test,ring1,Fold-1,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",inception_time,200,0.001,mse,128,10,4.84±1.61,6.83±5.10,5.73±1.96,0.13±0.35
inception-time-ring1-samsung_hr-stationary-ir,test,ring1,Fold-2,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",inception_time,200,0.001,mse,128,9,6.13±1.47,7.41±4.59,7.49±1.64,0.92±0.15
inception-time-ring1-samsung_hr-stationary-ir,test,ring1,Fold-1,samsung_hr_com,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",inception_time,200,0.001,mse,128,10,2.07±0.50,2.55±1.73,2.46±0.62,0.84±0.19
inception-time-ring1-samsung_hr-stationary-ir,test,ring1,Fold-2,samsung_hr_com,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",inception_time,200,0.001,mse,128,9,4.11±1.17,5.28±3.47,5.63±1.78,0.96±0.11
peak-motion,test,ring2,,hr,['ir-filtered'],"['deepsquat', 'striding']",peak,200,0.001,mse,128,42,41.40±3.59,47.34±18.76,58.67±8.10,-0.66±0.12
peak-motion,test,ring1,,hr,['ir-filtered'],"['deepsquat', 'striding']",peak,200,0.001,mse,128,57,18.75±1.84,23.28±9.32,25.41±3.35,0.31±0.13
peak-motion,test,ring2,,samsung_hr,['ir-filtered'],"['deepsquat', 'striding']",peak,200,0.001,mse,128,6,35.96±4.01,37.06±17.93,37.85±4.37,-0.93±0.18
peak-motion,test,ring1,,samsung_hr,['ir-filtered'],"['deepsquat', 'striding']",peak,200,0.001,mse,128,7,16.47±6.32,22.61±18.41,20.90±9.46,0.33±0.42
peak-motion,test,ring2,,oura_hr,['ir-filtered'],"['deepsquat', 'striding']",peak,200,0.001,mse,128,6,35.96±4.01,37.06±17.93,37.85±4.37,-0.93±0.18
peak-motion,test,ring1,,oura_hr,['ir-filtered'],"['deepsquat', 'striding']",peak,200,0.001,mse,128,7,16.47±6.32,22.61±18.41,20.90±9.46,0.33±0.42
peak-motion,test,ring2,,samsung_hr_com,['ir-filtered'],"['deepsquat', 'striding']",peak,200,0.001,mse,128,6,39.87±10.55,46.33±29.34,42.57±13.30,0.56±0.41
peak-motion,test,ring1,,samsung_hr_com,['ir-filtered'],"['deepsquat', 'striding']",peak,200,0.001,mse,128,7,43.72±9.72,49.78±28.28,50.50±13.76,0.44±0.40
peak-motion,test,ring2,,resp_rr,['ir-filtered-rr'],"['deepsquat', 'striding']",peak,200,0.001,mse,128,44,4.54±0.50,5.60±2.37,25.58±5.03,0.19±0.15
peak-motion,test,ring1,,resp_rr,['ir-filtered-rr'],"['deepsquat', 'striding']",peak,200,0.001,mse,128,59,4.60±0.44,5.67±2.29,24.76±3.68,0.18±0.13
peak-motion,test,ring2,,oura_hr_com,['ir-filtered'],"['deepsquat', 'striding']",peak,200,0.001,mse,128,6,43.20±4.56,44.39±19.12,47.82±8.20,0.91±0.21
peak-motion,test,ring1,,oura_hr_com,['ir-filtered'],"['deepsquat', 'striding']",peak,200,0.001,mse,128,7,39.62±5.26,41.66±19.69,44.80±7.56,0.71±0.32
transformer-ring2-hr-stationary-ir,test,ring2,Fold-1,hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",transformer,200,0.001,mse,128,107,6.53±0.42,7.85±2.68,7.60±0.46,-0.30±0.09
transformer-ring2-hr-stationary-ir,test,ring2,Fold-2,hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",transformer,200,0.001,mse,128,71,9.46±0.75,11.33±4.27,11.01±0.75,-0.24±0.12
transformer-ring2-hr-stationary-ir,test,ring2,Fold-3,hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",transformer,200,0.001,mse,128,94,7.62±0.45,8.79±2.88,9.86±0.56,0.05±0.10
transformer-ring2-hr-stationary-ir,test,ring2,Fold-4,hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",transformer,200,0.001,mse,128,28,30.68±0.51,30.79±5.46,30.09±0.36,0.18±0.19
transformer-ring2-hr-stationary-ir,test,ring2,Fold-5,hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",transformer,200,0.001,mse,128,87,14.03±0.57,15.00±3.83,21.03±0.98,-0.21±0.11
transformer-ring2-hr-stationary-ir,test,ring2,all-folds,hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",transformer,200,0.001,mse,128,387,10.77±0.40,13.36±3.58,13.42±0.47,-0.68±0.04
inception-time-ring2-oura_hr-all-ir,test,ring2,Fold-1,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,15,11.99±1.56,13.34±6.01,13.67±1.67,-0.18±0.27
inception-time-ring2-oura_hr-all-ir,test,ring2,Fold-2,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,22,8.04±1.49,10.56±6.68,9.68±1.65,0.08±0.22
inception-time-ring2-oura_hr-all-ir,test,ring2,Fold-1,oura_hr_com,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,15,12.30±4.07,19.57±14.44,14.62±4.84,0.21±0.27
inception-time-ring2-oura_hr-all-ir,test,ring2,Fold-2,oura_hr_com,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,22,7.13±2.95,15.28±12.68,8.47±3.59,0.65±0.17
transformer-ring2-hr-motion-ir,test,ring2,Fold-1,hr,['ir-filtered'],"['deepsquat', 'striding']",transformer,200,0.001,mse,128,8,6.37±1.19,7.10±4.11,7.54±1.30,-0.67±0.30
transformer-ring2-hr-motion-ir,test,ring2,Fold-2,hr,['ir-filtered'],"['deepsquat', 'striding']",transformer,200,0.001,mse,128,10,24.54±5.99,30.42±16.67,22.96±5.01,0.29±0.34
transformer-ring2-hr-motion-ir,test,ring2,Fold-3,hr,['ir-filtered'],"['deepsquat', 'striding']",transformer,200,0.001,mse,128,10,19.89±3.70,22.78±11.97,38.92±9.22,0.79±0.22
transformer-ring2-hr-motion-ir,test,ring2,Fold-4,hr,['ir-filtered'],"['deepsquat', 'striding']",transformer,200,0.001,mse,128,6,41.99±4.60,43.23±19.65,36.60±2.58,0.00±0.50
transformer-ring2-hr-motion-ir,test,ring2,Fold-5,hr,['ir-filtered'],"['deepsquat', 'striding']",transformer,200,0.001,mse,128,8,4.61±1.06,5.39±3.09,5.30±1.15,-0.26±0.39
transformer-ring2-hr-motion-ir,test,ring2,all-folds,hr,['ir-filtered'],"['deepsquat', 'striding']",transformer,200,0.001,mse,128,42,18.67±2.60,25.02±11.40,22.41±3.26,-0.38±0.15
resnet-ring2-samsung_hr-stationary-ir,test,ring2,Fold-1,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",resnet,200,0.001,mse,128,7,26.70±2.48,27.38±11.01,31.07±3.18,0.86±0.23
resnet-ring2-samsung_hr-stationary-ir,test,ring2,Fold-2,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",resnet,200,0.001,mse,128,9,12.39±4.11,16.98±12.51,13.80±3.91,-0.64±0.29
resnet-ring2-samsung_hr-stationary-ir,test,ring2,Fold-1,samsung_hr_com,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",resnet,200,0.001,mse,128,7,2.26±0.62,2.73±2.04,2.68±0.79,0.83±0.25
