exp_name,mode,ring_type,fold,task,input_type,dataset_task,method_name,epochs,lr,criterion,batch_size,sample_len,mae_with_std,rmse_with_std,mape_with_std,pearson_with_std
inception-time-ring1-hr-all-ir,5fold,ring1,Fold-1,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,190,7.48±0.46,9.80±3.52,9.08±0.56,-0.16±0.07
inception-time-ring1-hr-all-ir,5fold,ring1,Fold-2,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,82,7.08±1.04,11.76±6.66,7.90±0.96,0.35±0.10
inception-time-ring1-hr-all-ir,5fold,ring1,Fold-3,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,104,7.52±0.69,10.30±4.68,10.78±1.37,0.24±0.10
inception-time-ring1-hr-all-ir,5fold,ring1,Fold-4,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,61,21.95±0.83,22.87±7.01,20.84±0.58,0.17±0.13
inception-time-ring1-hr-all-ir,5fold,ring1,Fold-5,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,95,12.22±0.63,13.65±4.45,16.63±0.64,0.75±0.07
inception-time-ring1-hr-all-ir,5fold,ring1,all-folds,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,532,9.93±0.37,13.02±3.56,11.93±0.43,0.45±0.04
inception-time-ring1-hr-all-ir,5fold,ring1,Fold-1,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,190,7.48±0.46,9.80±3.52,9.08±0.56,-0.16±0.07
inception-time-ring1-hr-all-ir,5fold,ring1,Fold-2,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,82,7.08±1.04,11.76±6.66,7.90±0.96,0.35±0.10
inception-time-ring1-hr-all-ir,5fold,ring1,Fold-3,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,104,7.52±0.69,10.30±4.68,10.78±1.37,0.24±0.10
inception-time-ring1-hr-all-ir,5fold,ring1,Fold-4,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,61,21.95±0.83,22.87±7.01,20.84±0.58,0.17±0.13
inception-time-ring1-hr-all-ir,5fold,ring1,Fold-5,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,95,12.22±0.63,13.65±4.45,16.63±0.64,0.75±0.07
inception-time-ring1-hr-all-ir,5fold,ring1,all-folds,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,532,9.93±0.37,13.02±3.56,11.93±0.43,0.45±0.04
inception-time-ring1-hr-all-ir,test,ring1,Fold-1,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,190,7.48±0.46,9.80±3.52,9.08±0.56,-0.16±0.07
inception-time-ring1-hr-all-ir,test,ring1,Fold-2,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,82,7.08±1.04,11.76±6.66,7.90±0.96,0.35±0.10
inception-time-ring1-hr-all-ir,test,ring1,Fold-3,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,104,7.52±0.69,10.30±4.68,10.78±1.37,0.24±0.10
inception-time-ring1-hr-all-ir,test,ring1,Fold-4,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,61,21.95±0.83,22.87±7.01,20.84±0.58,0.17±0.13
inception-time-ring1-hr-all-ir,test,ring1,Fold-5,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,95,12.22±0.63,13.65±4.45,16.63±0.64,0.75±0.07
inception-time-ring1-hr-all-ir,test,ring1,all-folds,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,532,9.93±0.37,13.02±3.56,11.93±0.43,0.45±0.04
