exp_name,mode,ring_type,fold,task,input_type,dataset_task,method_name,epochs,lr,criterion,batch_size,sample_len,mae_with_std,rmse_with_std,mape_with_std,pearson_with_std
inception-time-ring1-rr-all-ir,5fold,ring1,Fold-1,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,190,2.59±0.16,3.41±1.19,16.13±1.47,0.36±0.07
inception-time-ring1-rr-all-ir,5fold,ring1,Fold-2,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,84,4.25±0.30,5.05±1.86,21.69±2.26,0.10±0.11
inception-time-ring1-rr-all-ir,5fold,ring1,Fold-3,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,104,2.44±0.19,3.10±1.27,15.24±1.15,0.15±0.10
inception-time-ring1-rr-all-ir,5fold,ring1,Fold-4,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,61,4.39±0.30,4.97±1.87,22.12±1.14,0.23±0.13
inception-time-ring1-rr-all-ir,5fold,ring1,Fold-5,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,95,4.64±0.28,5.37±1.85,34.92±3.01,0.39±0.10
inception-time-ring1-rr-all-ir,5fold,ring1,all-folds,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,534,3.39±0.11,4.24±1.07,20.86±0.92,0.01±0.04
inception-time-ring1-rr-all-ir,5fold,ring1,Fold-1,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,190,2.59±0.16,3.41±1.19,16.13±1.47,0.36±0.07
inception-time-ring1-rr-all-ir,5fold,ring1,Fold-2,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,84,4.25±0.30,5.05±1.86,21.69±2.26,0.10±0.11
inception-time-ring1-rr-all-ir,5fold,ring1,Fold-3,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,104,2.44±0.19,3.10±1.27,15.24±1.15,0.15±0.10
inception-time-ring1-rr-all-ir,5fold,ring1,Fold-4,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,61,4.39±0.30,4.97±1.87,22.12±1.14,0.23±0.13
inception-time-ring1-rr-all-ir,5fold,ring1,Fold-5,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,95,4.64±0.28,5.37±1.85,34.92±3.01,0.39±0.10
inception-time-ring1-rr-all-ir,5fold,ring1,all-folds,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,534,3.39±0.11,4.24±1.07,20.86±0.92,0.01±0.04
inception-time-ring1-rr-all-ir,test,ring1,Fold-1,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,190,2.59±0.16,3.41±1.19,16.13±1.47,0.36±0.07
inception-time-ring1-rr-all-ir,test,ring1,Fold-2,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,84,4.25±0.30,5.05±1.86,21.69±2.26,0.10±0.11
inception-time-ring1-rr-all-ir,test,ring1,Fold-3,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,104,2.44±0.19,3.10±1.27,15.24±1.15,0.15±0.10
inception-time-ring1-rr-all-ir,test,ring1,Fold-4,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,61,4.39±0.30,4.97±1.87,22.12±1.14,0.23±0.13
inception-time-ring1-rr-all-ir,test,ring1,Fold-5,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,95,4.64±0.28,5.37±1.85,34.92±3.01,0.39±0.10
inception-time-ring1-rr-all-ir,test,ring1,all-folds,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,534,3.39±0.11,4.24±1.07,20.86±0.92,0.01±0.04
