exp_name,mode,ring_type,fold,task,input_type,dataset_task,method_name,epochs,lr,criterion,batch_size,sample_len,mae_with_std,rmse_with_std,mape_with_std,pearson_with_std
resnet-ring1-hr-all-ir,5fold,ring1,Fold-1,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,190,25.48±0.50,26.40±5.32,30.31±0.51,-0.15±0.07
resnet-ring1-hr-all-ir,5fold,ring1,Fold-2,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,82,6.22±0.94,10.47±5.96,7.06±0.93,0.58±0.09
resnet-ring1-hr-all-ir,5fold,ring1,Fold-3,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,104,11.63±0.95,15.11±6.29,17.37±1.92,0.07±0.10
resnet-ring1-hr-all-ir,5fold,ring1,Fold-4,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,61,10.80±1.05,13.53±6.73,10.06±0.86,-0.07±0.13
resnet-ring1-hr-all-ir,5fold,ring1,Fold-5,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,95,49.74±0.59,50.07±7.86,70.36±0.21,0.85±0.05
resnet-ring1-hr-all-ir,5fold,ring1,all-folds,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,532,22.45±0.72,27.91±6.39,29.02±1.02,0.49±0.04
resnet-ring1-hr-all-ir,5fold,ring1,Fold-1,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,190,25.48±0.50,26.40±5.32,30.31±0.51,-0.15±0.07
resnet-ring1-hr-all-ir,5fold,ring1,Fold-2,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,82,6.22±0.94,10.47±5.96,7.06±0.93,0.58±0.09
resnet-ring1-hr-all-ir,5fold,ring1,Fold-3,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,104,11.63±0.95,15.11±6.29,17.37±1.92,0.07±0.10
resnet-ring1-hr-all-ir,5fold,ring1,Fold-4,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,61,10.80±1.05,13.53±6.73,10.06±0.86,-0.07±0.13
resnet-ring1-hr-all-ir,5fold,ring1,Fold-5,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,95,49.74±0.59,50.07±7.86,70.36±0.21,0.85±0.05
resnet-ring1-hr-all-ir,5fold,ring1,all-folds,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,532,22.45±0.72,27.91±6.39,29.02±1.02,0.49±0.04
resnet-ring1-hr-all-ir,test,ring1,Fold-1,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,190,25.48±0.50,26.40±5.32,30.31±0.51,-0.15±0.07
resnet-ring1-hr-all-ir,test,ring1,Fold-2,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,82,6.22±0.94,10.47±5.96,7.06±0.93,0.58±0.09
resnet-ring1-hr-all-ir,test,ring1,Fold-3,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,104,11.63±0.95,15.11±6.29,17.37±1.92,0.07±0.10
resnet-ring1-hr-all-ir,test,ring1,Fold-4,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,61,10.80±1.05,13.53±6.73,10.06±0.86,-0.07±0.13
resnet-ring1-hr-all-ir,test,ring1,Fold-5,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,95,49.74±0.59,50.07±7.86,70.36±0.21,0.85±0.05
resnet-ring1-hr-all-ir,test,ring1,all-folds,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,532,22.45±0.72,27.91±6.39,29.02±1.02,0.49±0.04
