exp_name,mode,ring_type,fold,task,input_type,dataset_task,method_name,epochs,lr,criterion,batch_size,sample_len,mae_with_std,rmse_with_std,mape_with_std,pearson_with_std
resnet-ring1-rr-all-ir,5fold,ring1,Fold-1,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,190,2.96±0.19,3.93±1.38,19.43±1.80,0.25±0.07
resnet-ring1-rr-all-ir,5fold,ring1,Fold-2,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,84,4.61±0.31,5.39±1.91,23.20±2.10,0.11±0.11
resnet-ring1-rr-all-ir,5fold,ring1,Fold-3,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,104,2.10±0.20,2.90±1.31,12.78±1.12,0.20±0.10
resnet-ring1-rr-all-ir,5fold,ring1,Fold-4,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,61,3.77±0.31,4.47±1.85,18.82±1.23,0.08±0.13
resnet-ring1-rr-all-ir,5fold,ring1,Fold-5,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,95,4.51±0.28,5.26±1.85,33.83±2.95,0.46±0.09
resnet-ring1-rr-all-ir,5fold,ring1,all-folds,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,534,3.42±0.12,4.35±1.11,21.22±0.97,0.04±0.04
resnet-ring1-rr-all-ir,5fold,ring1,Fold-1,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,190,2.96±0.19,3.93±1.38,19.43±1.80,0.25±0.07
resnet-ring1-rr-all-ir,5fold,ring1,Fold-2,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,84,4.61±0.31,5.39±1.91,23.20±2.10,0.11±0.11
resnet-ring1-rr-all-ir,5fold,ring1,Fold-3,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,104,2.10±0.20,2.90±1.31,12.78±1.12,0.20±0.10
resnet-ring1-rr-all-ir,5fold,ring1,Fold-4,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,61,3.77±0.31,4.47±1.85,18.82±1.23,0.08±0.13
resnet-ring1-rr-all-ir,5fold,ring1,Fold-5,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,95,4.51±0.28,5.26±1.85,33.83±2.95,0.46±0.09
resnet-ring1-rr-all-ir,5fold,ring1,all-folds,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,534,3.42±0.12,4.35±1.11,21.22±0.97,0.04±0.04
resnet-ring1-rr-all-ir,test,ring1,Fold-1,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,190,2.96±0.19,3.93±1.38,19.43±1.80,0.25±0.07
resnet-ring1-rr-all-ir,test,ring1,Fold-2,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,84,4.61±0.31,5.39±1.91,23.20±2.10,0.11±0.11
resnet-ring1-rr-all-ir,test,ring1,Fold-3,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,104,2.10±0.20,2.90±1.31,12.78±1.12,0.20±0.10
resnet-ring1-rr-all-ir,test,ring1,Fold-4,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,61,3.77±0.31,4.47±1.85,18.82±1.23,0.08±0.13
resnet-ring1-rr-all-ir,test,ring1,Fold-5,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,95,4.51±0.28,5.26±1.85,33.83±2.95,0.46±0.09
resnet-ring1-rr-all-ir,test,ring1,all-folds,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,534,3.42±0.12,4.35±1.11,21.22±0.97,0.04±0.04
