exp_name,mode,ring_type,fold,task,input_type,dataset_task,method_name,epochs,lr,criterion,batch_size,sample_len,mae_with_std,rmse_with_std,mape_with_std,pearson_with_std
transformer-ring1-hr-all-ir,5fold,ring1,Fold-1,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,190,5.45±0.30,6.82±2.26,6.62±0.38,-0.25±0.07
transformer-ring1-hr-all-ir,5fold,ring1,Fold-2,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,82,9.30±0.91,12.40±5.83,10.61±0.89,0.32±0.11
transformer-ring1-hr-all-ir,5fold,ring1,Fold-3,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,104,7.61±0.70,10.43±4.84,11.26±1.45,0.36±0.09
transformer-ring1-hr-all-ir,5fold,ring1,Fold-4,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,61,33.47±0.81,34.06±7.96,31.90±0.49,0.19±0.13
transformer-ring1-hr-all-ir,5fold,ring1,Fold-5,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,95,13.76±0.61,14.99±3.95,20.51±1.04,0.18±0.10
transformer-ring1-hr-all-ir,5fold,ring1,all-folds,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,532,11.16±0.46,15.32±4.25,13.52±0.53,-0.37±0.04
transformer-ring1-hr-all-ir,5fold,ring1,Fold-1,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,190,5.45±0.30,6.82±2.26,6.62±0.38,-0.25±0.07
transformer-ring1-hr-all-ir,5fold,ring1,Fold-2,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,82,9.30±0.91,12.40±5.83,10.61±0.89,0.32±0.11
transformer-ring1-hr-all-ir,5fold,ring1,Fold-3,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,104,7.61±0.70,10.43±4.84,11.26±1.45,0.36±0.09
transformer-ring1-hr-all-ir,5fold,ring1,Fold-4,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,61,33.47±0.81,34.06±7.96,31.90±0.49,0.19±0.13
transformer-ring1-hr-all-ir,5fold,ring1,Fold-5,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,95,13.76±0.61,14.99±3.95,20.51±1.04,0.18±0.10
transformer-ring1-hr-all-ir,5fold,ring1,all-folds,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,532,11.16±0.46,15.32±4.25,13.52±0.53,-0.37±0.04
transformer-ring1-hr-all-ir,test,ring1,Fold-1,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,190,5.45±0.30,6.82±2.26,6.62±0.38,-0.25±0.07
transformer-ring1-hr-all-ir,test,ring1,Fold-2,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,82,9.30±0.91,12.40±5.83,10.61±0.89,0.32±0.11
transformer-ring1-hr-all-ir,test,ring1,Fold-3,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,104,7.61±0.70,10.43±4.84,11.26±1.45,0.36±0.09
transformer-ring1-hr-all-ir,test,ring1,Fold-4,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,61,33.47±0.81,34.06±7.96,31.90±0.49,0.19±0.13
transformer-ring1-hr-all-ir,test,ring1,Fold-5,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,95,13.76±0.61,14.99±3.95,20.51±1.04,0.18±0.10
transformer-ring1-hr-all-ir,test,ring1,all-folds,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,532,11.16±0.46,15.32±4.25,13.52±0.53,-0.37±0.04
