exp_name,mode,ring_type,fold,task,input_type,dataset_task,method_name,epochs,lr,criterion,batch_size,sample_len,mae_with_std,rmse_with_std,mape_with_std,pearson_with_std
transformer-ring1-rr-all-ir,5fold,ring1,Fold-1,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,190,2.76±0.19,3.76±1.35,16.19±1.35,0.00±0.07
transformer-ring1-rr-all-ir,5fold,ring1,Fold-2,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,84,3.96±0.30,4.80±1.78,20.29±2.26,0.09±0.11
transformer-ring1-rr-all-ir,5fold,ring1,Fold-3,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,104,2.38±0.17,2.93±1.18,15.06±1.08,0.08±0.10
transformer-ring1-rr-all-ir,5fold,ring1,Fold-4,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,61,3.04±0.30,3.82±1.74,14.96±1.16,0.08±0.13
transformer-ring1-rr-all-ir,5fold,ring1,Fold-5,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,95,4.73±0.28,5.46±1.87,35.47±3.04,-0.07±0.10
transformer-ring1-rr-all-ir,5fold,ring1,all-folds,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,534,3.26±0.11,4.16±1.07,19.90±0.90,-0.21±0.04
transformer-ring1-rr-all-ir,5fold,ring1,Fold-1,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,190,2.76±0.19,3.76±1.35,16.19±1.35,0.00±0.07
transformer-ring1-rr-all-ir,5fold,ring1,Fold-2,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,84,3.96±0.30,4.80±1.78,20.29±2.26,0.09±0.11
transformer-ring1-rr-all-ir,5fold,ring1,Fold-3,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,104,2.38±0.17,2.93±1.18,15.06±1.08,0.08±0.10
transformer-ring1-rr-all-ir,5fold,ring1,Fold-4,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,61,3.04±0.30,3.82±1.74,14.96±1.16,0.08±0.13
transformer-ring1-rr-all-ir,5fold,ring1,Fold-5,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,95,4.73±0.28,5.46±1.87,35.47±3.04,-0.07±0.10
transformer-ring1-rr-all-ir,5fold,ring1,all-folds,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,534,3.26±0.11,4.16±1.07,19.90±0.90,-0.21±0.04
transformer-ring1-rr-all-ir,test,ring1,Fold-1,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,190,2.76±0.19,3.76±1.35,16.19±1.35,0.00±0.07
transformer-ring1-rr-all-ir,test,ring1,Fold-2,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,84,3.96±0.30,4.80±1.78,20.29±2.26,0.09±0.11
transformer-ring1-rr-all-ir,test,ring1,Fold-3,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,104,2.38±0.17,2.93±1.18,15.06±1.08,0.08±0.10
transformer-ring1-rr-all-ir,test,ring1,Fold-4,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,61,3.04±0.30,3.82±1.74,14.96±1.16,0.08±0.13
transformer-ring1-rr-all-ir,test,ring1,Fold-5,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,95,4.73±0.28,5.46±1.87,35.47±3.04,-0.07±0.10
transformer-ring1-rr-all-ir,test,ring1,all-folds,resp_rr,['ir-filtered-rr'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,128,534,3.26±0.11,4.16±1.07,19.90±0.90,-0.21±0.04
