exp_name,mode,ring_type,fold,task,scene,input_type,dataset_task,method_name,epochs,lr,criterion,batch_size,sample_len,mae_with_std,rmse_with_std,mape_with_std,pearson_with_std
mamba2-ring2-hr-motion-irredimu,5fold,ring2,Fold-1,hr,motion,"['ir-filtered', 'red-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']","['deepsquat', 'striding']",mamba2,200,0.0001,mse,8,5,29.68±4.26,30.88±15.42,30.03±2.34,-0.34±0.54
mamba2-ring2-hr-motion-irredimu,5fold,ring2,Fold-2,hr,motion,"['ir-filtered', 'red-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']","['deepsquat', 'striding']",mamba2,200,0.0001,mse,8,14,9.44±1.11,10.25±4.56,10.96±1.17,-0.07±0.29
mamba2-ring2-hr-motion-irredimu,5fold,ring2,Fold-3,hr,motion,"['ir-filtered', 'red-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']","['deepsquat', 'striding']",mamba2,200,0.0001,mse,8,10,28.63±5.34,32.81±16.77,56.38±12.90,-0.13±0.35
mamba2-ring2-hr-motion-irredimu,5fold,ring2,Fold-4,hr,motion,"['ir-filtered', 'red-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']","['deepsquat', 'striding']",mamba2,200,0.0001,mse,8,11,26.12±4.39,29.57±14.92,23.29±3.01,0.01±0.33
mamba2-ring2-hr-motion-irredimu,5fold,ring2,Fold-5,hr,motion,"['ir-filtered', 'red-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']","['deepsquat', 'striding']",mamba2,200,0.0001,mse,8,2,1.79±1.10,2.10±1.98,2.21±1.35,-1.00±inf
mamba2-ring2-hr-motion-irredimu,5fold,ring2,all-folds,hr,motion,"['ir-filtered', 'red-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']","['deepsquat', 'striding']",mamba2,200,0.0001,mse,8,42,20.42±2.30,25.18±10.58,26.86±4.17,-0.38±0.15
inception-time-ring1-samsung_hr-stationary-ir,test,ring1,Fold-1,samsung_hr,stationary,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",inception_time,200,0.001,mse,128,33,7.43±1.10,9.68±4.89,9.05±1.20,0.77±0.12
inception-time-ring1-samsung_hr-stationary-ir,test,ring1,Fold-2,samsung_hr,stationary,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",inception_time,200,0.001,mse,128,24,5.37±0.75,6.47±3.68,7.65±1.32,0.77±0.13
inception-time-ring1-samsung_hr-stationary-ir,test,ring1,Fold-3,samsung_hr,stationary,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",inception_time,200,0.001,mse,128,28,4.46±0.82,6.16±3.77,5.00±0.87,0.91±0.08
inception-time-ring1-samsung_hr-stationary-ir,test,ring1,Fold-4,samsung_hr,stationary,['ir-filtered'],"['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",inception_time,200,0.001,mse,128,38,5.79±0.88,7.89±4.02,7.02±1.05,0.85±0.09
