task,ring_type,method_name,mode,mae,rmse,mape,pearson
hr,ring1,inception_time,5fold,9.93,13.02,11.93,0.45
hr,ring1,transformer,test,13.003333333333336,17.400000000000002,15.86,0.38000000000000006
hr,ring2,inception_time,5fold,10.19,13.39,12.55,0.29
hr,ring2,transformer,test,13.660000000000002,17.763333333333332,16.71,0.5566666666666666
oura_hr,ring1,peak,test,17.04,24.3,21.33666666666667,0.17
oura_hr,ring2,peak,test,19.093333333333334,23.01,21.21,0.48000000000000004
oura_hr_com,ring1,fft,test,17.59,21.166666666666668,19.866666666666664,0.7533333333333333
oura_hr_com,ring2,fft,test,19.35,22.986666666666668,21.706666666666667,0.7533333333333333
resp_rr,ring1,transformer,5fold,3.26,4.16,19.9,0.21
resp_rr,ring1,peak,test,3.6300000000000003,4.733333333333333,21.10666666666667,0.3433333333333333
resp_rr,ring2,peak,test,3.953333333333333,5.076666666666667,24.75,0.17666666666666667
samsung_hr,ring1,peak,test,15.236666666666666,21.613333333333333,19.003333333333334,0.27666666666666667
samsung_hr,ring2,peak,test,21.49666666666667,26.953333333333333,23.243333333333336,0.45333333333333337
samsung_hr_com,ring1,fft,test,19.336666666666666,25.429999999999996,22.396666666666665,0.65
samsung_hr_com,ring2,fft,test,18.53333333333333,24.613333333333333,20.16,0.7233333333333333
spo2,ring1,ratio,test,4.3,6.05,4.75,0.2
spo2,ring2,ratio,test,3.29,4.18,3.6,0.25
