exp_name                                     , mode , ring_type, fold     , task          , scene     , input_type                                                                                , dataset_task                                                                         , method_name   , epochs, lr    , criterion, batch_size, sample_len, mae_with_std, rmse_with_std, mape_with_std, pearson_with_std
mamba2-ring2-hr-motion-irredimu              , 5fold, ring2    , all-folds, hr            , motion    , "['ir-filtered', 'red-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']", "['deepsquat', 'striding']"                                                          , mamba2        ,    200, 0.0001, mse      ,          8,         42, 20.42±2.30  , 25.18±10.58  , 26.86±4.17   , -0.38±0.15
inception-time-ring1-samsung_hr-stationary-ir, test , ring1    , all-folds, samsung_hr    , stationary, ['ir-filtered']                                                                           , "['sitting', 'spo2', 'talking', 'shaking_head', 'standing']"                         , inception_time,    200, 0.001 , mse      ,        128,        151, 5.34±0.40   , 7.25±2.77    , 6.62±0.49    , 0.84±0.04
mamba2-ring1-hr-motion-irimu                 , 5fold, ring1    , all-folds, hr            , motion    , "['ir-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']"                , "['deepsquat', 'striding']"                                                          , mamba2        ,    200, 0.0001, mse      ,          8,         57, 23.36±1.69  , 26.54±9.74   , 29.63±3.11   , -0.45±0.12
peak-motion                                  , test , ring2    ,          , hr            , motion    , ['ir-filtered']                                                                           , "['deepsquat', 'striding']"                                                          , peak          ,    200, 0.001 , mse      ,        128,        181, 28.85±1.52  , 35.35±11.13  , 41.07±3.60   , -0.26±0.07
peak-motion                                  , test , ring1    ,          , hr            , motion    , ['ir-filtered']                                                                           , "['deepsquat', 'striding']"                                                          , peak          ,    200, 0.001 , mse      ,        128,        191, 21.27±1.42  , 28.93±10.14  , 35.86±3.84   , 0.12±0.07
peak-motion                                  , test , ring2    ,          , samsung_hr    , motion    , ['ir-filtered']                                                                           , "['deepsquat', 'striding']"                                                          , peak          ,    200, 0.001 , mse      ,        128,         25, 26.86±3.56  , 32.04±15.83  , 38.45±8.48   , -0.27±0.20
peak-motion                                  , test , ring1    ,          , samsung_hr    , motion    , ['ir-filtered']                                                                           , "['deepsquat', 'striding']"                                                          , peak          ,    200, 0.001 , mse      ,        128,         35, 22.52±3.69  , 31.14±16.94  , 38.62±9.45   , 0.08±0.17
peak-motion                                  , test , ring2    ,          , oura_hr       , motion    , ['ir-filtered']                                                                           , "['deepsquat', 'striding']"                                                          , peak          ,    200, 0.001 , mse      ,        128,         27, 25.39±3.42  , 30.80±15.39  , 36.29±7.98   , -0.16±0.20
peak-motion                                  , test , ring1    ,          , oura_hr       , motion    , ['ir-filtered']                                                                           , "['deepsquat', 'striding']"                                                          , peak          ,    200, 0.001 , mse      ,        128,         39, 23.52±3.73  , 32.90±16.95  , 42.74±9.61   , 0.08±0.16
peak-motion                                  , test , ring2    ,          , samsung_hr_com, motion    , ['ir-filtered']                                                                           , "['deepsquat', 'striding']"                                                          , peak          ,    200, 0.001 , mse      ,        128,         25, 36.03±4.66  , 42.64±21.90  , 49.17±11.01  , 0.41±0.19
