task          , ring_type, method_name   , mode , scene     , mae               , rmse              , mape              , pearson
BP_dia        , ring1    , inception_time, 5fold, all       ,  8.56             , 10.94             , 12.81             , 0.04
BP_dia        , ring1    , resnet        , 5fold, all       ,  7.42             ,  9.53             , 11.42             , 0.11
BP_dia        , ring1    , transformer   , 5fold, all       ,  8.66             , 10.53             , 13.45             , 0.06
BP_dia        , ring2    , inception_time, 5fold, all       , 10.02             , 12.84             , 15.14             , 0.23
BP_dia        , ring2    , resnet        , 5fold, all       ,  8.63             , 10.89             , 13.66             , 0.14
BP_dia        , ring2    , transformer   , 5fold, all       ,  8.87             , 10.94             , 13.78             , 0.08
BP_sys        , ring1    , inception_time, 5fold, all       , 16.08             , 20.11             , 14.6              , 0.0
BP_sys        , ring1    , resnet        , 5fold, all       , 14.0              , 17.07             , 13.26             , 0.06
BP_sys        , ring1    , transformer   , 5fold, all       , 15.04             , 17.58             , 14.08             , 0.08
BP_sys        , ring2    , inception_time, 5fold, all       , 15.88             , 20.16             , 14.97             , 0.08
BP_sys        , ring2    , resnet        , 5fold, all       , 17.32             , 20.26             , 16.5              , 0.13
BP_sys        , ring2    , transformer   , 5fold, all       , 17.13             , 20.23             , 15.65             , 0.08
hr            , ring1    , fft           , test , motion    , 39.25             , 45.25             , 43.65             , 0.09
hr            , ring1    , fft           , test , stationary,  6.04             , 14.5              ,  7.3              , 0.56
hr            , ring1    , fft           , test , unknown   ,  9.32             , 19.8              , 10.9              , 0.36
hr            , ring1    , inception_time, 5fold, all       ,  7.24             , 10.78             ,  9.3              , 0.59
hr            , ring1    , inception_time, test , all       ,  6.01             ,  9.63             ,  7.84             , 0.68
hr            , ring1    , inception_time, test , motion    , 18.76             , 23.83             , 25.9              , 0.1
hr            , ring1    , inception_time, test , stationary,  4.61             ,  6.37             ,  5.86             , 0.84
hr            , ring1    , mamba2        , 5fold, all       , 11.402            , 14.128            , 14.157999999999998, 0.13599999999999998
hr            , ring1    , mamba2        , 5fold, motion    , 21.043333333333333, 24.973333333333333, 26.813333333333333, 0.44
hr            , ring1    , mamba2        , 5fold, stationary,  9.24             , 11.53             , 11.44             , 0.21
hr            , ring1    , peak          , test , motion    , 21.27             , 28.93             , 35.86             , 0.12
hr            , ring1    , peak          , test , stationary, 18.17             , 26.47             , 23.49             , 0.38
hr            , ring1    , peak          , test , unknown   , 18.47             , 26.72             , 24.72             , 0.32
hr            , ring1    , resnet        , 5fold, all       ,  6.39             , 10.1              ,  8.53             , 0.67
hr            , ring1    , resnet        , test , all       ,  5.09             ,  8.8              ,  6.87             , 0.75
hr            , ring1    , resnet        , test , motion    , 17.99             , 23.15             , 26.79             , 0.06
hr            , ring1    , resnet        , test , stationary,  3.67             ,  5.2              ,  4.68             , 0.9
hr            , ring1    , transformer   , 5fold, all       ,  8.22             , 11.64             , 10.56             , 0.5
hr            , ring1    , transformer   , test , all       ,  6.64             ,  9.99             ,  8.52             , 0.66
hr            , ring1    , transformer   , test , motion    , 18.53             , 23.33             , 26.52             , 0.07
hr            , ring1    , transformer   , test , stationary,  5.33             ,  7.14             ,  6.54             , 0.8
hr            , ring2    , fft           , test , motion    , 39.52             , 45.55             , 42.79             , 0.1
hr            , ring2    , fft           , test , stationary, 12.42             , 21.4              , 15.21             , 0.18
