task,ring_type,method_name,mode,mae,rmse,mape,pearson
hr,ring1,fft,test,16.213333333333335,24.393333333333334,17.963333333333335,0.36000000000000004
hr,ring1,inception_time,5fold,9.93,13.02,11.93,0.45
hr,ring1,inception_time,test,13.273333333333333,16.203333333333333,15.950000000000001,0.36999999999999994
hr,ring1,peak,test,17.01,23.936666666666667,21.913333333333338,0.4066666666666667
hr,ring1,resnet,5fold,22.45,27.91,29.02,0.49
hr,ring1,resnet,test,25.706666666666667,30.51,32.70666666666667,0.38666666666666666
hr,ring1,transformer,5fold,11.16,15.32,13.52,0.37
hr,ring1,transformer,test,13.003333333333336,17.400000000000002,15.86,0.38000000000000006
hr,ring2,fft,test,20.976666666666667,30.80666666666667,23.173333333333336,0.09000000000000001
hr,ring2,inception_time,5fold,10.19,13.39,12.55,0.29
hr,ring2,inception_time,test,13.733333333333334,16.913333333333334,17.143333333333334,0.2866666666666667
hr,ring2,peak,test,37.75333333333333,44.85333333333333,52.02,0.5666666666666668
hr,ring2,resnet,5fold,16.33,19.58,20.24,0.32
hr,ring2,resnet,test,19.213333333333335,22.486666666666665,23.52,0.24666666666666667
hr,ring2,transformer,5fold,11.54,14.91,14.3,0.61
hr,ring2,transformer,test,13.660000000000002,17.763333333333332,16.71,0.5566666666666666
oura_hr,ring1,fft,test,20.903333333333332,28.87,22.156666666666666,0.5233333333333333
oura_hr,ring1,peak,test,17.04,24.3,21.33666666666667,0.17
oura_hr,ring2,fft,test,25.44333333333333,33.54666666666667,26.396666666666665,0.20333333333333337
oura_hr,ring2,peak,test,19.093333333333334,23.01,21.21,0.48000000000000004
oura_hr_com,ring1,fft,test,17.59,21.166666666666668,19.866666666666664,0.7533333333333333
oura_hr_com,ring1,peak,test,17.59,21.166666666666668,19.866666666666664,0.7533333333333333
oura_hr_com,ring2,fft,test,19.35,22.986666666666668,21.706666666666667,0.7533333333333333
oura_hr_com,ring2,peak,test,19.35,22.986666666666668,21.706666666666667,0.7533333333333333
resp_rr,ring1,fft,test,5.3999999999999995,6.283333333333334,29.83,0.24
resp_rr,ring1,inception_time,5fold,3.39,4.24,20.86,0.01
resp_rr,ring1,inception_time,test,3.8000000000000003,4.706666666666667,21.790000000000003,0.09000000000000001
resp_rr,ring1,peak,test,3.6300000000000003,4.733333333333333,21.10666666666667,0.3433333333333333
resp_rr,ring1,resnet,5fold,3.42,4.35,21.22,0.04
resp_rr,ring1,resnet,test,3.8666666666666667,4.826666666666667,22.293333333333333,0.08333333333333333
resp_rr,ring1,transformer,5fold,3.26,4.16,19.9,0.21
resp_rr,ring1,transformer,test,3.776666666666667,4.746666666666667,21.086666666666666,0.2866666666666667
resp_rr,ring2,fft,test,4.875,5.695,26.310000000000002,0.295
resp_rr,ring2,peak,test,3.953333333333333,5.076666666666667,24.75,0.17666666666666667
samsung_hr,ring1,fft,test,19.83,27.673333333333336,20.493333333333336,0.47333333333333333
samsung_hr,ring1,peak,test,15.236666666666666,21.613333333333333,19.003333333333334,0.27666666666666667
samsung_hr,ring2,fft,test,31.386666666666667,42.163333333333334,31.756666666666664,0.20666666666666667
samsung_hr,ring2,peak,test,21.49666666666667,26.953333333333333,23.243333333333336,0.45333333333333337
samsung_hr_com,ring1,fft,test,19.336666666666666,25.429999999999996,22.396666666666665,0.65
samsung_hr_com,ring1,peak,test,19.336666666666666,25.429999999999996,22.396666666666665,0.65
samsung_hr_com,ring2,fft,test,18.53333333333333,24.613333333333333,20.16,0.7233333333333333
samsung_hr_com,ring2,peak,test,18.53333333333333,24.613333333333333,20.16,0.7233333333333333
spo2,ring1,ratio,test,4.3,6.05,4.75,0.2
spo2,ring2,ratio,test,3.29,4.18,3.6,0.25
